run,seed,suite,successes,episodes,success_rate_pct,seed_mean_pct,seed_std_pct
rank_r32_spatial,unknown,libero_spatial,73,100,73.0,,
rank_r8_spatial,unknown,libero_spatial,67,100,67.0,,
step2_1_spatial_lora_r16,unknown,libero_spatial,66,100,66.0,,
rank_r32_spatial,unknown,OVERALL,73,100,73.0,,
rank_r8_spatial,unknown,OVERALL,67,100,67.0,,
step2_1_spatial_lora_r16,unknown,OVERALL,66,100,66.0,,
